ImageID,ans
cbc5c6e168e63498590db46022617123f1fe1268.jpg,"[0.20805544 0.01973844 0.11081699 0.14220059 0.00659411 0.01757182
 0.03354973 0.02568634 0.00874465 0.03888869 0.05427284 0.15511139
 0.11422813 0.01757723 0.02514684 0.00669964 0.00157912 0.01353799]"
0e72482bf56b3581c081f7da2a6180b8792c7089.jpg,"[0.11294363 0.0142018  0.11351894 0.22123063 0.00097149 0.00410485
 0.10713912 0.01941175 0.03426915 0.05037206 0.04807021 0.03451821
 0.02905289 0.01955935 0.13590638 0.00532033 0.03502772 0.01438144]"
b549040c49190cedc41327748aeb197c1670f14d.jpg,"[0.2897326  0.00267571 0.08084027 0.047249   0.00424641 0.03267411
 0.1531152  0.02848829 0.03066037 0.04415144 0.05675305 0.03314779
 0.03753681 0.02319023 0.06518457 0.02362055 0.0075706  0.03916299]"
4f9cb2a045c6d5b9e50ad3459ea7b791eb6e18bc.jpg,"[0.0087526  0.01898626 0.1977451  0.13602217 0.00607882 0.00526541
 0.03579486 0.013435   0.00760581 0.19154093 0.00391758 0.20965931
 0.05901662 0.00529766 0.08691641 0.01039945 0.00186649 0.0016995 ]"
248428d9a4a5b6229a7081c32851b90cb8d38d0c.jpg,"[0.04776601 0.02244932 0.03084486 0.02018319 0.02542471 0.01148622
 0.06030798 0.0410097  0.0308555  0.01848439 0.00364268 0.15184033
 0.06440691 0.00107453 0.30272985 0.01323588 0.027323   0.12693499]"
7953c2e6e983bad91b89a0e4ad7eb69e6e43e56b.jpg,"[0.03231196 0.01815824 0.13656901 0.11514197 0.0411653  0.02730981
 0.2502057  0.04724733 0.01303721 0.03282469 0.00232944 0.02650884
 0.08598732 0.03194738 0.01887804 0.03005745 0.03622436 0.05409599]"
1903db7dcc1262d0441677afa422e6a8371e5b37.jpg,"[0.07502885 0.01178764 0.19153732 0.20767894 0.0093062  0.00474954
 0.10314312 0.00517322 0.01171691 0.00902937 0.01020355 0.00829112
 0.008284   0.06695173 0.13077447 0.02682109 0.01217102 0.10735185]"
441419a874f4d031cd576850b68539ca7d35bedf.jpg,"[0.07920002 0.00642814 0.13417602 0.01000348 0.05370671 0.05383029
 0.22165576 0.08561776 0.03822149 0.04661698 0.03331159 0.0205409
 0.01484926 0.0601375  0.0042183  0.00506072 0.09428319 0.03814195]"
388856cd1ef99b1918273a827a75f2aff2478321.jpg,"[0.04808824 0.0016516  0.09044126 0.01521843 0.02384862 0.01509657
 0.29675448 0.025648   0.01452539 0.17065416 0.01345266 0.01584121
 0.04158799 0.08967226 0.03721051 0.00512992 0.0867003  0.00847838]"
795ba8ccc769a3f9da6a897f75df6706b729345b.jpg,"[0.01187911 0.01661583 0.08558859 0.01153706 0.02616198 0.0078003
 0.09212752 0.06812202 0.07423721 0.21812741 0.11902785 0.04350463
 0.05095373 0.01916978 0.05047692 0.04596508 0.00983561 0.04886932]"
9028e8c54f80096bf4e43390caf003f64c90e5ce.jpg,"[0.13320625 0.02645179 0.03587828 0.1669946  0.02453496 0.06671483
 0.05622903 0.02511212 0.01183017 0.01359564 0.01966052 0.04381845
 0.05847799 0.04590655 0.18161689 0.01615386 0.0121115  0.0617066 ]"
78900cfc8a2bb5cb69c60bdef92b173a8a48c8ec.jpg,"[0.28816774 0.00269016 0.11055112 0.08130552 0.02822732 0.00472712
 0.02389968 0.00836902 0.08710378 0.21152313 0.00829834 0.01756794
 0.01547039 0.00222117 0.05998533 0.00749467 0.03074414 0.01165333]"
cba23bf8b02a8ddc470db8799fef62220819737e.jpg,"[0.03556904 0.01623789 0.2761434  0.00725927 0.04477173 0.00198381
 0.07353462 0.10334603 0.0154571  0.02233192 0.02918288 0.00999966
 0.10333151 0.03823471 0.14389703 0.0017229  0.07604381 0.00095263]"
