,gender,age,path,name,label
0,female,45,/opt/ml/input/data/train/images/000001_female_Asian_45/normal.jpg,normal.jpg,16
1,female,45,/opt/ml/input/data/train/images/000001_female_Asian_45/mask1.jpg,mask1.jpg,4
2,female,45,/opt/ml/input/data/train/images/000001_female_Asian_45/mask2.jpg,mask2.jpg,4
3,female,45,/opt/ml/input/data/train/images/000001_female_Asian_45/mask4.jpg,mask4.jpg,4
4,female,45,/opt/ml/input/data/train/images/000001_female_Asian_45/incorrect_mask.jpg,incorrect_mask.jpg,10
5,female,45,/opt/ml/input/data/train/images/000001_female_Asian_45/mask3.jpg,mask3.jpg,4
6,female,45,/opt/ml/input/data/train/images/000001_female_Asian_45/mask5.jpg,mask5.jpg,4
7,female,52,/opt/ml/input/data/train/images/000002_female_Asian_52/normal.jpg,normal.jpg,16
8,female,52,/opt/ml/input/data/train/images/000002_female_Asian_52/mask1.jpg,mask1.jpg,4
9,female,52,/opt/ml/input/data/train/images/000002_female_Asian_52/mask2.jpg,mask2.jpg,4
10,female,52,/opt/ml/input/data/train/images/000002_female_Asian_52/mask4.jpg,mask4.jpg,4
11,female,52,/opt/ml/input/data/train/images/000002_female_Asian_52/incorrect_mask.jpg,incorrect_mask.jpg,10
12,female,52,/opt/ml/input/data/train/images/000002_female_Asian_52/mask3.jpg,mask3.jpg,4
13,female,52,/opt/ml/input/data/train/images/000002_female_Asian_52/mask5.jpg,mask5.jpg,4
14,male,54,/opt/ml/input/data/train/images/000004_male_Asian_54/normal.jpg,normal.jpg,13
15,male,54,/opt/ml/input/data/train/images/000004_male_Asian_54/mask1.jpg,mask1.jpg,1
16,male,54,/opt/ml/input/data/train/images/000004_male_Asian_54/mask2.jpg,mask2.jpg,1
17,male,54,/opt/ml/input/data/train/images/000004_male_Asian_54/mask4.jpg,mask4.jpg,1
18,male,54,/opt/ml/input/data/train/images/000004_male_Asian_54/incorrect_mask.jpg,incorrect_mask.jpg,7
19,male,54,/opt/ml/input/data/train/images/000004_male_Asian_54/mask3.jpg,mask3.jpg,1
20,male,54,/opt/ml/input/data/train/images/000004_male_Asian_54/mask5.jpg,mask5.jpg,1
21,female,58,/opt/ml/input/data/train/images/000005_female_Asian_58/normal.jpg,normal.jpg,17
22,female,58,/opt/ml/input/data/train/images/000005_female_Asian_58/mask1.jpg,mask1.jpg,5
23,female,58,/opt/ml/input/data/train/images/000005_female_Asian_58/mask2.jpg,mask2.jpg,5
24,female,58,/opt/ml/input/data/train/images/000005_female_Asian_58/mask4.jpg,mask4.jpg,5
25,female,58,/opt/ml/input/data/train/images/000005_female_Asian_58/incorrect_mask.jpg,incorrect_mask.jpg,11
26,female,58,/opt/ml/input/data/train/images/000005_female_Asian_58/mask3.jpg,mask3.jpg,5
27,female,58,/opt/ml/input/data/train/images/000005_female_Asian_58/mask5.jpg,mask5.jpg,5
28,female,59,/opt/ml/input/data/train/images/000006_female_Asian_59/normal.jpg,normal.jpg,17
29,female,59,/opt/ml/input/data/train/images/000006_female_Asian_59/mask1.jpg,mask1.jpg,5
30,female,59,/opt/ml/input/data/train/images/000006_female_Asian_59/mask2.jpg,mask2.jpg,5
31,female,59,/opt/ml/input/data/train/images/000006_female_Asian_59/mask4.jpg,mask4.jpg,5
32,female,59,/opt/ml/input/data/train/images/000006_female_Asian_59/incorrect_mask.jpg,incorrect_mask.jpg,11
33,female,59,/opt/ml/input/data/train/images/000006_female_Asian_59/mask3.jpg,mask3.jpg,5
34,female,59,/opt/ml/input/data/train/images/000006_female_Asian_59/mask5.jpg,mask5.jpg,5
35,female,58,/opt/ml/input/data/train/images/000007_female_Asian_58/normal.jpg,normal.jpg,17
36,female,58,/opt/ml/input/data/train/images/000007_female_Asian_58/mask1.jpg,mask1.jpg,5
37,female,58,/opt/ml/input/data/train/images/000007_female_Asian_58/mask2.jpg,mask2.jpg,5
38,female,58,/opt/ml/input/data/train/images/000007_female_Asian_58/mask4.jpg,mask4.jpg,5
39,female,58,/opt/ml/input/data/train/images/000007_female_Asian_58/incorrect_mask.jpg,incorrect_mask.jpg,11
40,female,58,/opt/ml/input/data/train/images/000007_female_Asian_58/mask3.jpg,mask3.jpg,5
41,female,58,/opt/ml/input/data/train/images/000007_female_Asian_58/mask5.jpg,mask5.jpg,5
42,female,58,/opt/ml/input/data/train/images/000008_female_Asian_58/normal.jpg,normal.jpg,17
43,female,58,/opt/ml/input/data/train/images/000008_female_Asian_58/mask1.jpg,mask1.jpg,5
44,female,58,/opt/ml/input/data/train/images/000008_female_Asian_58/mask2.jpg,mask2.jpg,5
45,female,58,/opt/ml/input/data/train/images/000008_female_Asian_58/mask4.jpg,mask4.jpg,5
46,female,58,/opt/ml/input/data/train/images/000008_female_Asian_58/incorrect_mask.jpg,incorrect_mask.jpg,11
47,female,58,/opt/ml/input/data/train/images/000008_female_Asian_58/mask3.jpg,mask3.jpg,5
48,female,58,/opt/ml/input/data/train/images/000008_female_Asian_58/mask5.jpg,mask5.jpg,5
49,female,56,/opt/ml/input/data/train/images/000009_female_Asian_56/normal.jpg,normal.jpg,16
50,female,56,/opt/ml/input/data/train/images/000009_female_Asian_56/mask1.jpg,mask1.jpg,4
51,female,56,/opt/ml/input/data/train/images/000009_female_Asian_56/mask2.jpg,mask2.jpg,4
52,female,56,/opt/ml/input/data/train/images/000009_female_Asian_56/mask4.jpg,mask4.jpg,4
53,female,56,/opt/ml/input/data/train/images/000009_female_Asian_56/incorrect_mask.jpg,incorrect_mask.jpg,10
54,female,56,/opt/ml/input/data/train/images/000009_female_Asian_56/mask3.jpg,mask3.jpg,4
