,Unnamed: 0,fname,path,age,gender,label,kfold
0,0,incorrect_mask.jpg,000001_female_Asian_45,45,female,10,0.0
1,1,mask1.jpg,000001_female_Asian_45,45,female,4,0.0
2,2,mask2.jpg,000001_female_Asian_45,45,female,4,0.0
3,3,mask3.jpg,000001_female_Asian_45,45,female,4,0.0
4,4,mask4.jpg,000001_female_Asian_45,45,female,4,0.0
5,5,mask5.jpg,000001_female_Asian_45,45,female,4,0.0
6,6,normal.jpg,000001_female_Asian_45,45,female,16,0.0
7,7,incorrect_mask.jpg,000002_female_Asian_52,52,female,10,0.0
8,8,mask1.jpg,000002_female_Asian_52,52,female,4,0.0
9,9,mask2.jpg,000002_female_Asian_52,52,female,4,0.0
10,10,mask3.jpg,000002_female_Asian_52,52,female,4,0.0
11,11,mask4.jpg,000002_female_Asian_52,52,female,4,0.0
12,12,mask5.jpg,000002_female_Asian_52,52,female,4,0.0
13,13,normal.jpg,000002_female_Asian_52,52,female,16,0.0
14,14,incorrect_mask.jpg,000004_male_Asian_54,54,male,7,0.0
15,15,mask1.jpg,000004_male_Asian_54,54,male,1,0.0
16,16,mask2.jpg,000004_male_Asian_54,54,male,1,0.0
17,17,mask3.jpg,000004_male_Asian_54,54,male,1,0.0
18,18,mask4.jpg,000004_male_Asian_54,54,male,1,0.0
19,19,mask5.jpg,000004_male_Asian_54,54,male,1,0.0
20,20,normal.jpg,000004_male_Asian_54,54,male,13,0.0
21,21,incorrect_mask.jpg,000005_female_Asian_58,58,female,10,0.0
22,22,mask1.jpg,000005_female_Asian_58,58,female,4,0.0
23,23,mask2.jpg,000005_female_Asian_58,58,female,4,0.0
24,24,mask3.jpg,000005_female_Asian_58,58,female,4,0.0
25,25,mask4.jpg,000005_female_Asian_58,58,female,4,0.0
26,26,mask5.jpg,000005_female_Asian_58,58,female,4,0.0
27,27,normal.jpg,000005_female_Asian_58,58,female,16,0.0
28,28,incorrect_mask.jpg,000006_female_Asian_59,59,female,10,0.0
29,29,mask1.jpg,000006_female_Asian_59,59,female,4,0.0
30,30,mask2.jpg,000006_female_Asian_59,59,female,4,0.0
31,31,mask3.jpg,000006_female_Asian_59,59,female,4,0.0
32,32,mask4.jpg,000006_female_Asian_59,59,female,4,0.0
33,33,mask5.jpg,000006_female_Asian_59,59,female,4,0.0
34,34,normal.jpg,000006_female_Asian_59,59,female,16,0.0
35,35,incorrect_mask.jpg,000007_female_Asian_58,58,female,10,0.0
36,36,mask1.jpg,000007_female_Asian_58,58,female,4,0.0
37,37,mask2.jpg,000007_female_Asian_58,58,female,4,0.0
38,38,mask3.jpg,000007_female_Asian_58,58,female,4,0.0
39,39,mask4.jpg,000007_female_Asian_58,58,female,4,0.0
40,40,mask5.jpg,000007_female_Asian_58,58,female,4,0.0
41,41,normal.jpg,000007_female_Asian_58,58,female,16,0.0
42,42,incorrect_mask.jpg,000008_female_Asian_58,58,female,10,0.0
43,43,mask1.jpg,000008_female_Asian_58,58,female,4,0.0
44,44,mask2.jpg,000008_female_Asian_58,58,female,4,0.0
45,45,mask3.jpg,000008_female_Asian_58,58,female,4,0.0
46,46,mask4.jpg,000008_female_Asian_58,58,female,4,0.0
47,47,mask5.jpg,000008_female_Asian_58,58,female,4,0.0
48,48,normal.jpg,000008_female_Asian_58,58,female,16,0.0
49,49,incorrect_mask.jpg,000009_female_Asian_56,56,female,10,0.0
50,50,mask1.jpg,000009_female_Asian_56,56,female,4,0.0
51,51,mask2.jpg,000009_female_Asian_56,56,female,4,0.0
52,52,mask3.jpg,000009_female_Asian_56,56,female,4,0.0
53,53,mask4.jpg,000009_female_Asian_56,56,female,4,0.0
54,54,mask5.jpg,000009_female_Asian_56,56,female,4,0.0
55,55,normal.jpg,000009_female_Asian_56,56,female,16,0.0
56,56,incorrect_mask.jpg,000010_female_Asian_58,58,female,10,0.0
57,57,mask1.jpg,000010_female_Asian_58,58,female,4,0.0
58,58,mask2.jpg,000010_female_Asian_58,58,female,4,0.0
59,59,mask3.jpg,000010_female_Asian_58,58,female,4,0.0
60,60,mask4.jpg,000010_female_Asian_58,58,female,4,0.0
61,61,mask5.jpg,000010_female_Asian_58,58,female,4,0.0
62,62,normal.jpg,000010_female_Asian_58,58,female,16,0.0
63,63,incorrect_mask.jpg,000012_male_Asian_57,57,male,7,0.0
64,64,mask1.jpg,000012_male_Asian_57,57,male,1,0.0
65,65,mask2.jpg,000012_male_Asian_57,57,male,1,0.0
66,66,mask3.jpg,000012_male_Asian_57,57,male,1,0.0
67,67,mask4.jpg,000012_male_Asian_57,57,male,1,0.0
68,68,mask5.jpg,000012_male_Asian_57,57,male,1,0.0
69,69,normal.jpg,000012_male_Asian_57,57,male,13,0.0
70,70,incorrect_mask.jpg,000014_female_Asian_58,58,female,10,0.0
71,71,mask1.jpg,000014_female_Asian_58,58,female,4,0.0
72,72,mask2.jpg,000014_female_Asian_58,58,female,4,0.0
73,73,mask3.jpg,000014_female_Asian_58,58,female,4,0.0
74,74,mask4.jpg,000014_female_Asian_58,58,female,4,0.0
75,75,mask5.jpg,000014_female_Asian_58,58,female,4,0.0
76,76,normal.jpg,000014_female_Asian_58,58,female,16,0.0
77,77,incorrect_mask.jpg,000015_male_Asian_55,55,male,7,0.0
78,78,mask1.jpg,000015_male_Asian_55,55,male,1,0.0
79,79,mask2.jpg,000015_male_Asian_55,55,male,1,0.0
80,80,mask3.jpg,000015_male_Asian_55,55,male,1,0.0
81,81,mask4.jpg,000015_male_Asian_55,55,male,1,0.0
82,82,mask5.jpg,000015_male_Asian_55,55,male,1,0.0
83,83,normal.jpg,000015_male_Asian_55,55,male,13,0.0
84,84,incorrect_mask.jpg,000016_female_Asian_58,58,female,10,0.0
85,85,mask1.jpg,000016_female_Asian_58,58,female,4,0.0
86,86,mask2.jpg,000016_female_Asian_58,58,female,4,0.0
87,87,mask3.jpg,000016_female_Asian_58,58,female,4,0.0
88,88,mask4.jpg,000016_female_Asian_58,58,female,4,0.0
89,89,mask5.jpg,000016_female_Asian_58,58,female,4,0.0
90,90,normal.jpg,000016_female_Asian_58,58,female,16,0.0
91,91,incorrect_mask.jpg,000018_female_Asian_59,59,female,10,0.0
92,92,mask1.jpg,000018_female_Asian_59,59,female,4,0.0
93,93,mask2.jpg,000018_female_Asian_59,59,female,4,0.0
94,94,mask3.jpg,000018_female_Asian_59,59,female,4,0.0
95,95,mask4.jpg,000018_female_Asian_59,59,female,4,0.0
96,96,mask5.jpg,000018_female_Asian_59,59,female,4,0.0
97,97,normal.jpg,000018_female_Asian_59,59,female,16,0.0
98,98,incorrect_mask.jpg,000019_female_Asian_57,57,female,10,0.0
99,99,mask1.jpg,000019_female_Asian_57,57,female,4,0.0
100,100,mask2.jpg,000019_female_Asian_57,57,female,4,0.0
101,101,mask3.jpg,000019_female_Asian_57,57,female,4,0.0
102,102,mask4.jpg,000019_female_Asian_57,57,female,4,0.0
103,103,mask5.jpg,000019_female_Asian_57,57,female,4,0.0
104,104,normal.jpg,000019_female_Asian_57,57,female,16,0.0
105,105,incorrect_mask.jpg,000020_female_Asian_50,50,female,10,0.0
106,106,mask1.jpg,000020_female_Asian_50,50,female,4,0.0
107,107,mask2.jpg,000020_female_Asian_50,50,female,4,0.0
108,108,mask3.jpg,000020_female_Asian_50,50,female,4,0.0
109,109,mask4.jpg,000020_female_Asian_50,50,female,4,0.0
110,110,mask5.jpg,000020_female_Asian_50,50,female,4,0.0
111,111,normal.jpg,000020_female_Asian_50,50,female,16,0.0
112,112,incorrect_mask.jpg,000021_female_Asian_54,54,female,10,0.0
113,113,mask1.jpg,000021_female_Asian_54,54,female,4,0.0
114,114,mask2.jpg,000021_female_Asian_54,54,female,4,0.0
115,115,mask3.jpg,000021_female_Asian_54,54,female,4,0.0
116,116,mask4.jpg,000021_female_Asian_54,54,female,4,0.0
117,117,mask5.jpg,000021_female_Asian_54,54,female,4,0.0
118,118,normal.jpg,000021_female_Asian_54,54,female,16,0.0
119,119,incorrect_mask.jpg,000022_female_Asian_58,58,female,10,0.0
120,120,mask1.jpg,000022_female_Asian_58,58,female,4,0.0
121,121,mask2.jpg,000022_female_Asian_58,58,female,4,0.0
122,122,mask3.jpg,000022_female_Asian_58,58,female,4,0.0
123,123,mask4.jpg,000022_female_Asian_58,58,female,4,0.0
124,124,mask5.jpg,000022_female_Asian_58,58,female,4,0.0
125,125,normal.jpg,000022_female_Asian_58,58,female,16,0.0
126,126,incorrect_mask.jpg,000023_female_Asian_55,55,female,10,0.0
127,127,mask1.jpg,000023_female_Asian_55,55,female,4,0.0
128,128,mask2.jpg,000023_female_Asian_55,55,female,4,0.0
129,129,mask3.jpg,000023_female_Asian_55,55,female,4,0.0
130,130,mask4.jpg,000023_female_Asian_55,55,female,4,0.0
131,131,mask5.jpg,000023_female_Asian_55,55,female,4,0.0
132,132,normal.jpg,000023_female_Asian_55,55,female,16,0.0
133,133,incorrect_mask.jpg,000024_female_Asian_58,58,female,10,0.0
134,134,mask1.jpg,000024_female_Asian_58,58,female,4,0.0
135,135,mask2.jpg,000024_female_Asian_58,58,female,4,0.0
136,136,mask3.jpg,000024_female_Asian_58,58,female,4,0.0
137,137,mask4.jpg,000024_female_Asian_58,58,female,4,0.0
138,138,mask5.jpg,000024_female_Asian_58,58,female,4,0.0
139,139,normal.jpg,000024_female_Asian_58,58,female,16,0.0
140,140,incorrect_mask.jpg,000025_female_Asian_49,49,female,10,0.0
141,141,mask1.jpg,000025_female_Asian_49,49,female,4,0.0
142,142,mask2.jpg,000025_female_Asian_49,49,female,4,0.0
143,143,mask3.jpg,000025_female_Asian_49,49,female,4,0.0
144,144,mask4.jpg,000025_female_Asian_49,49,female,4,0.0
145,145,mask5.jpg,000025_female_Asian_49,49,female,4,0.0
146,146,normal.jpg,000025_female_Asian_49,49,female,16,0.0
147,147,incorrect_mask.jpg,000026_female_Asian_56,56,female,10,0.0
148,148,mask1.jpg,000026_female_Asian_56,56,female,4,0.0
149,149,mask2.jpg,000026_female_Asian_56,56,female,4,0.0
150,150,mask3.jpg,000026_female_Asian_56,56,female,4,0.0
151,151,mask4.jpg,000026_female_Asian_56,56,female,4,0.0
152,152,mask5.jpg,000026_female_Asian_56,56,female,4,0.0
153,153,normal.jpg,000026_female_Asian_56,56,female,16,0.0
154,154,incorrect_mask.jpg,000028_female_Asian_58,58,female,10,0.0
155,155,mask1.jpg,000028_female_Asian_58,58,female,4,0.0
156,156,mask2.jpg,000028_female_Asian_58,58,female,4,0.0
157,157,mask3.jpg,000028_female_Asian_58,58,female,4,0.0
158,158,mask4.jpg,000028_female_Asian_58,58,female,4,0.0
159,159,mask5.jpg,000028_female_Asian_58,58,female,4,0.0
160,160,normal.jpg,000028_female_Asian_58,58,female,16,0.0
161,161,incorrect_mask.jpg,000029_female_Asian_58,58,female,10,0.0
162,162,mask1.jpg,000029_female_Asian_58,58,female,4,0.0
163,163,mask2.jpg,000029_female_Asian_58,58,female,4,0.0
164,164,mask3.jpg,000029_female_Asian_58,58,female,4,0.0
165,165,mask4.jpg,000029_female_Asian_58,58,female,4,0.0
166,166,mask5.jpg,000029_female_Asian_58,58,female,4,0.0
167,167,normal.jpg,000029_female_Asian_58,58,female,16,0.0
168,168,incorrect_mask.jpg,000030_female_Asian_55,55,female,10,0.0
169,169,mask1.jpg,000030_female_Asian_55,55,female,4,0.0
170,170,mask2.jpg,000030_female_Asian_55,55,female,4,0.0
171,171,mask3.jpg,000030_female_Asian_55,55,female,4,0.0
172,172,mask4.jpg,000030_female_Asian_55,55,female,4,0.0
173,173,mask5.jpg,000030_female_Asian_55,55,female,4,0.0
174,174,normal.jpg,000030_female_Asian_55,55,female,16,0.0
175,175,incorrect_mask.jpg,000031_female_Asian_54,54,female,10,0.0
176,176,mask1.jpg,000031_female_Asian_54,54,female,4,0.0
177,177,mask2.jpg,000031_female_Asian_54,54,female,4,0.0
178,178,mask3.jpg,000031_female_Asian_54,54,female,4,0.0
179,179,mask4.jpg,000031_female_Asian_54,54,female,4,0.0
180,180,mask5.jpg,000031_female_Asian_54,54,female,4,0.0
181,181,normal.jpg,000031_female_Asian_54,54,female,16,0.0
182,182,incorrect_mask.jpg,000033_male_Asian_57,57,male,7,0.0
183,183,mask1.jpg,000033_male_Asian_57,57,male,1,0.0
184,184,mask2.jpg,000033_male_Asian_57,57,male,1,0.0
185,185,mask3.jpg,000033_male_Asian_57,57,male,1,0.0
186,186,mask4.jpg,000033_male_Asian_57,57,male,1,0.0
187,187,mask5.jpg,000033_male_Asian_57,57,male,1,0.0
188,188,normal.jpg,000033_male_Asian_57,57,male,13,0.0
