,fname,path,age,gender,label
0,incorrect_mask.jpg,000001_female_Asian_45,45,female,10
1,mask1.jpg,000001_female_Asian_45,45,female,4
2,mask2.jpg,000001_female_Asian_45,45,female,4
3,mask3.jpg,000001_female_Asian_45,45,female,4
4,mask4.jpg,000001_female_Asian_45,45,female,4
5,mask5.jpg,000001_female_Asian_45,45,female,4
6,normal.jpg,000001_female_Asian_45,45,female,16
7,incorrect_mask.jpg,000002_female_Asian_52,52,female,10
8,mask1.jpg,000002_female_Asian_52,52,female,4
9,mask2.jpg,000002_female_Asian_52,52,female,4
10,mask3.jpg,000002_female_Asian_52,52,female,4
11,mask4.jpg,000002_female_Asian_52,52,female,4
12,mask5.jpg,000002_female_Asian_52,52,female,4
13,normal.jpg,000002_female_Asian_52,52,female,16
14,incorrect_mask.jpg,000004_male_Asian_54,54,male,7
15,mask1.jpg,000004_male_Asian_54,54,male,1
16,mask2.jpg,000004_male_Asian_54,54,male,1
17,mask3.jpg,000004_male_Asian_54,54,male,1
18,mask4.jpg,000004_male_Asian_54,54,male,1
19,mask5.jpg,000004_male_Asian_54,54,male,1
20,normal.jpg,000004_male_Asian_54,54,male,13
21,incorrect_mask.jpg,000005_female_Asian_58,58,female,10
22,mask1.jpg,000005_female_Asian_58,58,female,4
23,mask2.jpg,000005_female_Asian_58,58,female,4
24,mask3.jpg,000005_female_Asian_58,58,female,4
25,mask4.jpg,000005_female_Asian_58,58,female,4
26,mask5.jpg,000005_female_Asian_58,58,female,4
27,normal.jpg,000005_female_Asian_58,58,female,16
28,incorrect_mask.jpg,000006_female_Asian_59,59,female,10
29,mask1.jpg,000006_female_Asian_59,59,female,4
30,mask2.jpg,000006_female_Asian_59,59,female,4
31,mask3.jpg,000006_female_Asian_59,59,female,4
32,mask4.jpg,000006_female_Asian_59,59,female,4
33,mask5.jpg,000006_female_Asian_59,59,female,4
34,normal.jpg,000006_female_Asian_59,59,female,16
35,incorrect_mask.jpg,000007_female_Asian_58,58,female,10
36,mask1.jpg,000007_female_Asian_58,58,female,4
37,mask2.jpg,000007_female_Asian_58,58,female,4
38,mask3.jpg,000007_female_Asian_58,58,female,4
39,mask4.jpg,000007_female_Asian_58,58,female,4
40,mask5.jpg,000007_female_Asian_58,58,female,4
41,normal.jpg,000007_female_Asian_58,58,female,16
42,incorrect_mask.jpg,000008_female_Asian_58,58,female,10
43,mask1.jpg,000008_female_Asian_58,58,female,4
44,mask2.jpg,000008_female_Asian_58,58,female,4
45,mask3.jpg,000008_female_Asian_58,58,female,4
46,mask4.jpg,000008_female_Asian_58,58,female,4
47,mask5.jpg,000008_female_Asian_58,58,female,4
48,normal.jpg,000008_female_Asian_58,58,female,16
49,incorrect_mask.jpg,000009_female_Asian_56,56,female,10
50,mask1.jpg,000009_female_Asian_56,56,female,4
51,mask2.jpg,000009_female_Asian_56,56,female,4
52,mask3.jpg,000009_female_Asian_56,56,female,4
53,mask4.jpg,000009_female_Asian_56,56,female,4
54,mask5.jpg,000009_female_Asian_56,56,female,4
55,normal.jpg,000009_female_Asian_56,56,female,16
56,incorrect_mask.jpg,000010_female_Asian_58,58,female,10
57,mask1.jpg,000010_female_Asian_58,58,female,4
58,mask2.jpg,000010_female_Asian_58,58,female,4
59,mask3.jpg,000010_female_Asian_58,58,female,4
60,mask4.jpg,000010_female_Asian_58,58,female,4
61,mask5.jpg,000010_female_Asian_58,58,female,4
62,normal.jpg,000010_female_Asian_58,58,female,16
63,incorrect_mask.jpg,000012_male_Asian_57,57,male,7
64,mask1.jpg,000012_male_Asian_57,57,male,1
65,mask2.jpg,000012_male_Asian_57,57,male,1
66,mask3.jpg,000012_male_Asian_57,57,male,1
67,mask4.jpg,000012_male_Asian_57,57,male,1
68,mask5.jpg,000012_male_Asian_57,57,male,1
69,normal.jpg,000012_male_Asian_57,57,male,13
70,incorrect_mask.jpg,000014_female_Asian_58,58,female,10
71,mask1.jpg,000014_female_Asian_58,58,female,4
72,mask2.jpg,000014_female_Asian_58,58,female,4
73,mask3.jpg,000014_female_Asian_58,58,female,4
74,mask4.jpg,000014_female_Asian_58,58,female,4
75,mask5.jpg,000014_female_Asian_58,58,female,4
76,normal.jpg,000014_female_Asian_58,58,female,16
77,incorrect_mask.jpg,000015_male_Asian_55,55,male,7
78,mask1.jpg,000015_male_Asian_55,55,male,1
79,mask2.jpg,000015_male_Asian_55,55,male,1
80,mask3.jpg,000015_male_Asian_55,55,male,1
81,mask4.jpg,000015_male_Asian_55,55,male,1
82,mask5.jpg,000015_male_Asian_55,55,male,1
83,normal.jpg,000015_male_Asian_55,55,male,13
84,incorrect_mask.jpg,000016_female_Asian_58,58,female,10
85,mask1.jpg,000016_female_Asian_58,58,female,4
86,mask2.jpg,000016_female_Asian_58,58,female,4
87,mask3.jpg,000016_female_Asian_58,58,female,4
88,mask4.jpg,000016_female_Asian_58,58,female,4
89,mask5.jpg,000016_female_Asian_58,58,female,4
90,normal.jpg,000016_female_Asian_58,58,female,16
91,incorrect_mask.jpg,000018_female_Asian_59,59,female,10
92,mask1.jpg,000018_female_Asian_59,59,female,4
93,mask2.jpg,000018_female_Asian_59,59,female,4
94,mask3.jpg,000018_female_Asian_59,59,female,4
95,mask4.jpg,000018_female_Asian_59,59,female,4
96,mask5.jpg,000018_female_Asian_59,59,female,4
97,normal.jpg,000018_female_Asian_59,59,female,16
98,incorrect_mask.jpg,000019_female_Asian_57,57,female,10
99,mask1.jpg,000019_female_Asian_57,57,female,4
100,mask2.jpg,000019_female_Asian_57,57,female,4
101,mask3.jpg,000019_female_Asian_57,57,female,4
102,mask4.jpg,000019_female_Asian_57,57,female,4
103,mask5.jpg,000019_female_Asian_57,57,female,4
104,normal.jpg,000019_female_Asian_57,57,female,16
105,incorrect_mask.jpg,000020_female_Asian_50,50,female,10
106,mask1.jpg,000020_female_Asian_50,50,female,4
107,mask2.jpg,000020_female_Asian_50,50,female,4
108,mask3.jpg,000020_female_Asian_50,50,female,4
109,mask4.jpg,000020_female_Asian_50,50,female,4
110,mask5.jpg,000020_female_Asian_50,50,female,4
111,normal.jpg,000020_female_Asian_50,50,female,16
112,incorrect_mask.jpg,000021_female_Asian_54,54,female,10
113,mask1.jpg,000021_female_Asian_54,54,female,4
114,mask2.jpg,000021_female_Asian_54,54,female,4
115,mask3.jpg,000021_female_Asian_54,54,female,4
116,mask4.jpg,000021_female_Asian_54,54,female,4
117,mask5.jpg,000021_female_Asian_54,54,female,4
118,normal.jpg,000021_female_Asian_54,54,female,16
119,incorrect_mask.jpg,000022_female_Asian_58,58,female,10
120,mask1.jpg,000022_female_Asian_58,58,female,4
121,mask2.jpg,000022_female_Asian_58,58,female,4
122,mask3.jpg,000022_female_Asian_58,58,female,4
123,mask4.jpg,000022_female_Asian_58,58,female,4
124,mask5.jpg,000022_female_Asian_58,58,female,4
125,normal.jpg,000022_female_Asian_58,58,female,16
126,incorrect_mask.jpg,000023_female_Asian_55,55,female,10
127,mask1.jpg,000023_female_Asian_55,55,female,4
128,mask2.jpg,000023_female_Asian_55,55,female,4
129,mask3.jpg,000023_female_Asian_55,55,female,4
130,mask4.jpg,000023_female_Asian_55,55,female,4
131,mask5.jpg,000023_female_Asian_55,55,female,4
132,normal.jpg,000023_female_Asian_55,55,female,16
133,incorrect_mask.jpg,000024_female_Asian_58,58,female,10
134,mask1.jpg,000024_female_Asian_58,58,female,4
135,mask2.jpg,000024_female_Asian_58,58,female,4
136,mask3.jpg,000024_female_Asian_58,58,female,4
137,mask4.jpg,000024_female_Asian_58,58,female,4
138,mask5.jpg,000024_female_Asian_58,58,female,4
139,normal.jpg,000024_female_Asian_58,58,female,16
140,incorrect_mask.jpg,000025_female_Asian_49,49,female,10
141,mask1.jpg,000025_female_Asian_49,49,female,4
142,mask2.jpg,000025_female_Asian_49,49,female,4
143,mask3.jpg,000025_female_Asian_49,49,female,4
144,mask4.jpg,000025_female_Asian_49,49,female,4
145,mask5.jpg,000025_female_Asian_49,49,female,4
146,normal.jpg,000025_female_Asian_49,49,female,16
147,incorrect_mask.jpg,000026_female_Asian_56,56,female,10
148,mask1.jpg,000026_female_Asian_56,56,female,4
149,mask2.jpg,000026_female_Asian_56,56,female,4
150,mask3.jpg,000026_female_Asian_56,56,female,4
151,mask4.jpg,000026_female_Asian_56,56,female,4
152,mask5.jpg,000026_female_Asian_56,56,female,4
153,normal.jpg,000026_female_Asian_56,56,female,16
154,incorrect_mask.jpg,000028_female_Asian_58,58,female,10
155,mask1.jpg,000028_female_Asian_58,58,female,4
156,mask2.jpg,000028_female_Asian_58,58,female,4
157,mask3.jpg,000028_female_Asian_58,58,female,4
158,mask4.jpg,000028_female_Asian_58,58,female,4
159,mask5.jpg,000028_female_Asian_58,58,female,4
160,normal.jpg,000028_female_Asian_58,58,female,16
161,incorrect_mask.jpg,000029_female_Asian_58,58,female,10
162,mask1.jpg,000029_female_Asian_58,58,female,4
163,mask2.jpg,000029_female_Asian_58,58,female,4
164,mask3.jpg,000029_female_Asian_58,58,female,4
165,mask4.jpg,000029_female_Asian_58,58,female,4
166,mask5.jpg,000029_female_Asian_58,58,female,4
167,normal.jpg,000029_female_Asian_58,58,female,16
168,incorrect_mask.jpg,000030_female_Asian_55,55,female,10
